textid	text	label	source	error_type	specific_error	num_errors
1317	Today was wonderful because I hit my goal. I feel so happy! I feel blessed that these relationships came into my life.	joy	synthetic_variant	NA	NA	0
1318	I accidentally spilled coffee in front of everyone. I wanted to disappear. I accidentally tripped in front of everyone. I wanted to disappear.	embarrassment	synthetic_variant	NA	NA	0
1319	Today I ran errands. It was a pretty normal day. I spent most of the day running	neutral	synthetic_variant	Sentence	Missing Object	0
1320	Today I made such a fool of myself when I said something stupid.	embarrassment	synthetic_variant	NA	NA	0
1321	I feel accomplished after completing fix the problem. Today I proved to myself that I can overcome this challenge. accomplished after completing meet the deadline.	pride	synthetic_variant	Sentence	Missing Subject	0
1322	Unexpected help and I couldn't stop smiling. A kind gesture and I couldn't stop smiling.	joy	synthetic_variant	NA	NA	0
1323	I went through my usual rojtine of cooking and cleaning.	neutral	synthetic_variant	Word	Adjacent Key	1
1324	I went through my usual routine of cooking and cleaning. Nothing special happened today. Just routine tasks. Today I ran errands. It was a pretty normal day.	neutral	synthetic_variant	NA	NA	0
1325	I was trying to fix the problem but My neighbor keeps doing complaining constantly and it's driving me crazy.	anger	synthetic_variant	Sentence	Missing Complete Thought	0
1326	Tomorrow I need to give a speech and I'm so nervous. I ahve the presentation coming up and I'm really anxious about it. Tomorrow I need to make a decision and I'm so nervous.	nervousness	synthetic_variant	Word	Scrambled Letter	2
1327	I can't wait for the party! It's going to be amaaing!	excitement	synthetic_variant	Word	Adjacent Key	2
1328	I'm stressed out about my relationships and can't seem to ccalm downn.	nervousness	synthetic_variant	Word	Repeating Letter	2
1329	Just thinking about the trip makes me grin from ear to ear! I'm beyond excited because the application finally came through!	excitement	synthetic_variant	NA	NA	0
1330	I couldn't believe it when I received an award! Out of nowhere, I got a promotion offer and I was stunned!	surprise	synthetic_variant	NA	NA	0
1331	I'm really worried about the upcoming deadline. What if something bad happens? I don't know what I'll do if my fears actually happens.	fear	synthetic_variant	NA	NA	0
1332	My day consisted mainly	neutral	synthetic_variant	Sentence	Missing Object	0
1333	Today I found out that I got the promotion and I'm thrilled! Just thinking about seeing old friends makes me grin from	excitement	synthetic_variant	Sentence	Missing Complete Thought	0
1334	Just thinking about the trip makes me grin from earr to ear!	excitement	synthetic_variant	Word	Repeating Letter	1
1335	spent time with my family and it made my whole day better. Unexpected help happened and I couldn't stop smiling.	joy	synthetic_variant	Sentence	Missing Subject	0
1336	I never expected my old friend contacted me to happen! What a shock! I never expected my old friend contacted me to happen! What a shock!	surprise	synthetic_variant	NA	NA	0
1337	Today was terrible because traffic was terrible. I'm so angry I could scream. My sibling really upset me when they cancelled on me. I'm still mad about it.	anger	synthetic_variant	NA	NA	0
1338	I couldn't believe it when my idea was chosen I never expected I received a gift to happen! What a shock!	surprise	synthetic_variant	Sentence	Missing Complete Thought	0
1339	believe my boss did that to me. It's completely unfair and I'm furious. My colleague keeps doing the same mistakes and it's driving me crazy. My friend really upset me when they took credit for my work. I'm still mad about it.	anger	synthetic_variant	Sentence	Missing Subject	0
1340	The meeting got cancelled left me wondering what's really going on. I tried to figure out the new system but I just can't wrap my head around it. Today my boss told me unclear instructions nad I'm completely lost.	confusion	synthetic_variant	Word	Scrambled Letter	2
1341	I'm terrified that disappointment might occur soon. I don't know what I'll do if the worst case actually happens.	fear	synthetic_variant	NA	NA	0
1342	The commencement is making me feel uneasy and restless.	nervousness	synthetic_variant	NA	NA	0
1343	I never expected I received a gift to happen! What a shock!	surprise	synthetic_variant	NA	NA	0
1344	I'm still grossed out by that encounter from earlier. I encountered someone's poor yhgiene and it made me efel sick to my stomach. The store was closed was so repulsive I wanted to leave immediately.	disgust	synthetic_variant	Word	Scrambled Letter	3
1345	I wish I could take back my outfif choice from today. I accidentally tripped in front of everyone. I wanted to disappear.	embarrassment	synthetic_variant	Word	Adjacent Key	1
1346	My coworker really upset me when they took credit for my work. I'm still mad about it. Because my boss keeps doing being late	anger	synthetic_variant	Sentence	Missing Complete Thought	0
1347	I had to deal with djrty conditions today and it was absolutely revolting. The meeting got cancelled was so repulsive I wanted to leave immediately.	disgust	synthetic_variant	Word	Adjacent Key	1
1348	The way my colleague behaved was disgusting. I can't even think about	disgust	synthetic_variant	Sentence	Missing Object	0
1349	My ady consisted mainly of daily responsibilities. Nothing special happened today. Just the usual stuff.	neutral	synthetic_variant	Word	Scrambled Letter	1
1350	I'm so proud that I accomplished my	pride	synthetic_variant	Sentence	Missing Object	0
1351	Today was hard. Something didn't work out and I can't stop feeling blue. Today was hard. Something didn't work out and I can't stop feeling blue.	sadness	synthetic_variant	NA	NA	0
1352	I was trying to fix the problem but technical issues ruined everything. I'm livid.	anger	synthetic_variant	NA	NA	0
1353	Good weather and I couldn't stop smiling.	joy	synthetic_variant	NA	NA	0
1354	I was completely caught off guard when I got recognized happened. Out of nowhere, a promotion offer occurred and I was stunned!	surprise	synthetic_variant	Word	Missing Letter	1
1355	I'm terrified that disappointment might	fear	synthetic_variant	Sentence	Missing Complete Thought	0
1356	I made a new friend and I'm so pumped about it! I can't wait for my vacation! It's going to be amazing! I can't wait for the party! It's going to be amazing!	excitement	synthetic_variant	NA	NA	0
1357	I'm terrified that rejection might occur soon. Although the thought of the unknown I'm terrified that rejection might occur soon.	fear	synthetic_variant	Sentence	Missing Complete Thought	0
1358	I feel blessed that theese relationships came intoo my liife.	joy	synthetic_variant	Word	Repeating Letter	3
1359	Because i feel blessed that good health came into I spent time with my best friend and it made my whole day better. Today was wonderful because My presentation went well. I feel so happy!	joy	synthetic_variant	Sentence	Missing Complete Thought	0
1360	my neighbor behaved was disgusting. I can't even think about it.	disgust	synthetic_variant	Sentence	Missing Subject	0
1361	The networking event is making me feel uneasy qnd restless. Tomorrow I need to make a decision anc I'm so nervous.	nervousness	synthetic_variant	Word	Adjacent Key	3
1362	I don't know what I'll do if my fears actually happens. I don't know what I'll do if the aorst case actually happens.	fear	synthetic_variant	Word	Adjacent Key	1
1363	I'm stressed oout about the project and can't seem to calm down. The fair is making me feel uneasy and restless.	nervousness	synthetic_variant	Word	Repeating Letter	1
1364	Something strange happened with work and I'm not sure what to think.	confusion	synthetic_variant	NA	NA	0
1365	I was tryingg to fix the problem but poor planning ruined everything. I'm livid.	anger	synthetic_variant	Word	Repeating Letter	1
1366	I made a new friend happened and I'm so pumped about it! presentation went well happened and I'm so pumped about it! I'm beyond excited because my proposal finally came through!	excitement	synthetic_variant	Sentence	Missing Subject	0
1367	I couldn't believe it when everything fell into place	surprise	synthetic_variant	Sentence	Missing Object	0
1368	I never expected I received a gift to happen! What a shock! Out of nowhere, an unexpected visitor occurred and I	surprise	synthetic_variant	Sentence	Missing Complete Thought	0
1369	I was completely caught off guard when someone remembered my birthday.	surprise	synthetic_variant	NA	NA	0
1370	The store was closed left me wondering what's really going on. Something strange happened with work and I'm not sure The meeting got cancelled left me wondering what's really going on.	confusion	synthetic_variant	Sentence	Missing Object	0
1371	Because everything about today was I feel blessed that good health came into my life.	joy	synthetic_variant	Sentence	Missing Complete Thought	0
1372	I'm heartbroken about the outcome. I can't shake this sadness from what.	sadness	synthetic_variant	NA	NA	0
1373	Just thinking about starting my new hobby makes me grin from ear to ear!	excitement	synthetic_variant	NA	NA	0
1374	Just thinking about seeing old friends makes me grin from ear to ear!	excitement	synthetic_variant	NA	NA	0
1375	Nothing psecial happened todya. Just my onrmal schedule.	neutral	synthetic_variant	Word	Scrambled Letter	3
1376	Today I proved to myself that I can overcome this challenge. I'm so proud that I accomplished my proposal today! I feel accomplished after completing clean the house.	pride	synthetic_variant	NA	NA	0
1377	Something strange happened with my schedule and I'm not sure what to think. Something strange happened with my relationships and 'Im not sure what to think. Something strange happened with wrok and I'm not sure what to think.	confusion	synthetic_variant	Word	Scrambled Letter	2
1378	I don't understand why traffic was terrible. Nothing makes sense anymore. Something strange happened with my relationships and I'm not sure what to think.	confusion	synthetic_variant	NA	NA	0
1379	If everything about today was perfect, especially	joy	synthetic_variant	Sentence	Missing Complete Thought	0
1380	My plans fell through was so repulsive I wanted to leave immediately. The way that person behaved was disgusting. I can't even think about it. had to deal with dirty conditions today and it was absolutely revolting.	disgust	synthetic_variant	Sentence	Missing Subject	0
1381	Today I made such a fool of myself shen I forgot important details.	embarrassment	synthetic_variant	Word	Adjacent Key	1
1382	The thought of confrontation keeps me up at night. Thr thought of the unknown keeps me up at night.	fear	synthetic_variant	Word	Adjacent Key	1
1383	I couldn't believe it when I received an award	surprise	synthetic_variant	Sentence	Missing Object	0
1384	I have the interview coming up and I'm really anxious about it.	nervousness	synthetic_variant	NA	NA	0
1385	I went through my usual routine of work and exercise. Nothing special happened today. Just my normal schedule. I spent most of the day working on tasks.	neutral	synthetic_variant	NA	NA	0
1386	I encountered someone's poor hygiene and it made me feel sick to my stomach. plans fell through was so repulsive I wanted to leave immediately.	disgust	synthetic_variant	Sentence	Missing Subject	0
1387	I spent most of the day doing household chores.	neutral	synthetic_variant	NA	NA	0
1388	I encountered a clogged drain and it made me feel sick to my stomach. I had to dezl with spoiled food today and it was absolutely revolting.	disgust	synthetic_variant	Word	Adjacent Key	2
1389	Today I proved to myself that I can complete this project. Today I proved to myself that I can overcome this challenge.	pride	synthetic_variant	NA	NA	0
1390	I'm heartbroken about the outcome. Today was hard. Something didn't work out and I xan't stop feeling blue. Today was hard. I missed an opportunity and I can't stop feeling blue.	sadness	synthetic_variant	Word	Adjacent Key	1
1391	I can't stop worrying about wwhat others think. My stomacch is in knots.	nervousness	synthetic_variant	Word	Repeating Letter	3
1392	I have the presentation coming up and I'm really anxious about it. is making me feel uneasy and restless. The volunteer day is making me feel uneasy and restless.	nervousness	synthetic_variant	Sentence	Missing Subject	0
1393	I'm really worried about losing my job. What if something bd happens? I'm really worried about failing the exam. What if something bad happens?	fear	synthetic_variant	Word	Missing Letter	2
1394	The strategic planning is making me feel uneasy and restless. If the fair is making me feel uneasy and	nervousness	synthetic_variant	Sentence	Missing Complete Thought	0
1395	I'm still grossed out by witnessing that	disgust	synthetic_variant	Sentence	Missing Object	0
1396	Today I made such a fool of myself when I forgot important Today I made such a fool of myself when I said something stupid.	embarrassment	synthetic_variant	Sentence	Missing Object	0
1397	I don't understand why the store was closed happened. Nothing makes sensee anymore.	confusion	synthetic_variant	Word	Repeating Letter	1
1398	I gt bad news left me wondering what's eally ging on. Today the cashier told me something contradictory and I'm completely lost.	confusion	synthetic_variant	Word	Missing Letter	3
1399	Out of nowhere, good news occurred and I was stunned! brought an unexpected twist with natural ability revealed.	surprise	synthetic_variant	Sentence	Missing Subject	0
1400	I'm beyond excited because the application finally came	excitement	synthetic_variant	Sentence	Missing Complete Thought	0
1401	I'm still grossed out by witnessing that scene form earlier. The way my neighbor behaved was disgusting. I can't even think about it.	disgust	synthetic_variant	Word	Scrambled Letter	2
1402	I tried to figure out this complex issue but I just can't wrap my head around it. I tried to figure out what went wrong but I just can't wrap my head around it.	confusion	synthetic_variant	NA	NA	0
1403	Today was wonderful beecause I made a new friend. I feel so happy! Today was wonderful because My presentation went well. I feel so happy!	joy	synthetic_variant	Word	Repeating Letter	1
1404	I never expected plans changed to happen! What	surprise	synthetic_variant	Sentence	Missing Object	0
1405	I accidentally tripped in front of everyone. I wanted to disappear. I accidentally tripped in front of everyone. I wanted to disappear. I accidentally spilled coffee in front of everyone. I wanted to disappear.	embarrassment	synthetic_variant	NA	NA	0
1406	My presentation went wel happened and I'm so pumped abou it! Just thinking about the trip makes me grin from ar to ear! My presentation went well happened and I'm so pumped about it!	excitement	synthetic_variant	Word	Missing Letter	3
1407	Nothing special happened today. Just my normal schedule.	neutral	synthetic_variant	NA	NA	0
1408	The funeral has me feeling really low.	sadness	synthetic_variant	Word	Adjacent Key	1
1409	I'm so proud that I accomplished my hard work today! I'm really satisfied with how I handled adapting to change. Today I proved to myself that I can overcome this challenge.	pride	synthetic_variant	NA	NA	0
1410	I couldn't believe it when my idea was chosen! I couldn't believe it when everything fell into place!	surprise	synthetic_variant	NA	NA	0
1411	I feel really down because bad news happened. I feel really down because bad news happened. Toay was hard. Something didn't work out and I can't stop feeling blue.	sadness	synthetic_variant	Word	Missing Letter	1
1412	I'm beyond excited because my hard work finally came through! I'm beyond excited because my hard work finally came through! I can't wait for the weekend! It's going	excitement	synthetic_variant	Sentence	Missing Object	0
1413	I can't aait for ths weekend! It's going to be amazing!	excitement	synthetic_variant	Word	Adjacent Key	3
1414	I spent most of the day working on tasks. Today I did chores. It was a pretty normal day. day consisted mainly of daily responsibilities.	neutral	synthetic_variant	Sentence	Missing Subject	0
1415	I'm terrified that disappointment might occur soon. II'm really worried about faailing the exam. What if something bad happens?	fear	synthetic_variant	Word	Repeating Letter	2
1416	I was trying to clean the house but technical issues ruined everything. I'm livid. I was trying to finish my project but technical issues ruined everything. I'm livid.	anger	synthetic_variant	NA	NA	0
1417	I spent most of the day working on tasks.	neutral	synthetic_variant	NA	NA	0
1418	I was trying to clean the house but unexpected interruptions ruined everything. Im' livid. I was trying to finish my project but technical issues ruined everything. I'm livid.	anger	synthetic_variant	Word	Scrambled Letter	2
1419	I neer expected my old friend contacted me to happen! What a shock! I couldn't believe it when I received an award took place! I couldn't believe it when my idea was chosen took place!	surprise	synthetic_variant	Word	Missing Letter	1
1420	Just tthinking about the triip makes me grin from ear to ear!	excitement	synthetic_variant	Word	Repeating Letter	3
1421	Something strange happened with work and I'm not sure what to Something strange happened with my relationships and I'm not sure what to think. Traffic was terrible left me wondering what's really going on.	confusion	synthetic_variant	Sentence	Missing Object	0
1422	I was completely caught off guard when someone remembered my birthday.	surprise	synthetic_variant	NA	NA	0
1423	My friend keeps doing complaining constantly and it's driving me crazy. My parent really upset me when they cancelled on me. I'm still mad about it. When my friend really upset me when they took credit for my work.	anger	synthetic_variant	Sentence	Missing Complete Thought	0
1424	I' really satisfied with how I handled leading change initiatives. I'm so proud that I accomplished the application today! I finaly managed to finish on time and it feels amazing!	pride	synthetic_variant	Word	Missing Letter	2
1425	The awy my colleague behvaed was disgusting. I can't even think about it. I encountered a clogged drain and it made me feel sick to my stomach.	disgust	synthetic_variant	Word	Scrambled Letter	3
1426	I tried to figure out what went wrong but I just can't wrap my head around it. Something strange happened with my schedule and I'm not sure what to think.	confusion	synthetic_variant	NA	NA	0
1427	Today I did chores. It was a pretty normal day. If i spent most of I went through my usual routine of reading and relaxing.	neutral	synthetic_variant	Sentence	Missing Complete Thought	0
1428	Tday I did chores. It was a pretty normal day.	neutral	synthetic_variant	Word	Missing Letter	2
1429	My coworker really upset me qhen they cancelled on me. I'm still mad about it. I can't believe my neighbpr did that to me. It's completely unfair and I'm furious.	anger	synthetic_variant	Word	Adjacent Key	2
1430	I worked. It was a pretty normal day. I spent most of the day working on tasks.	neutral	synthetic_variant	Sentence	Missing Subject	0
1431	I went through my usual routine of reading and relaxing. I spent most of the day working on tasks. ran errands. It was a pretty normal day.	neutral	synthetic_variant	Sentence	Missing Subject	0
1432	I'm so proud that I accomplished my hard work today! I'm really satisfied with how I hadnled supporting a struggling friend.	pride	synthetic_variant	Word	Scrambled Letter	1
1433	I finally managed to stand up for myself and it feels amazing! Today I proved to myself that I can overcome this challenge. I'm really satisfied with how I handled maintaining work quality.	pride	synthetic_variant	NA	NA	0
1434	thought of confrontation keeps me up at night.	fear	synthetic_variant	Sentence	Missing Subject	0
1435	Today was wonderful because My presentation went well. I feel so happy! I feel blessed that good health came into my life. I feel bpessed that good health came into my life.	joy	synthetic_variant	Word	Adjacent Key	1
1436	Today was terrible because the store was closed. I'm so angry I could scream. I can't believe the cashier did that to me. It's completely unfair and I'm furious.	anger	synthetic_variant	NA	NA	0
1437	I'm heartbroken about the response. I'm heartbroken about	sadness	synthetic_variant	Sentence	Missing Object	0
1438	I encountered moldy leftovers and it made me feel sick to my stomach. While the meeting got cancelled was so repulsive i wanted The way the cashier behaved was disgusting. I can't even think about it.	disgust	synthetic_variant	Sentence	Missing Complete Thought	0
1439	Out of nowhere, good news occurred nad I was stunned! Today brought an unexepcted twist with a pleasant surprise.	surprise	synthetic_variant	Word	Scrambled Letter	3
1440	Today I made such a fool of myself when I said something stupid. Today I made such a fool of myself when I said something stupid.	embarrassment	synthetic_variant	NA	NA	0
1441	I'm really satisfied with how	pride	synthetic_variant	Sentence	Missing Object	0
1442	know what I'll do if the worst case actually happens. The thought of the unknown keeps me up at night. I'm really worried about the upcoming deadline. What if something bad happens?	fear	synthetic_variant	Sentence	Missing Subject	0
1443	Today I proved to myself that I can overcome this challenge. I feel accomplished after completing finish my project.	pride	synthetic_variant	Word	Scrambled Letter	1
1444	Out of nowhere, good news occurred and I was stunned! I was completely caught off guard when I won something	surprise	synthetic_variant	Sentence	Missing Complete Thought	0
1445	help happened and I couldn't stop smiling. Today was wonderful because I made a new friend. I feel so happy! Everything about today was perfect, especially the meal.	joy	synthetic_variant	Sentence	Missing Subject	0
1446	I feel accomplished after completing meet the deadline. I feel accomplished after	pride	synthetic_variant	Sentence	Missing Complete Thought	0
1447	I don't understand why the meeting got cancelled happenec. Nothing makes sense anymore.	confusion	synthetic_variant	Word	Adjacent Key	1
1448	Today was hard. I missed an opportunity and I can't stop feeling blue.	sadness	synthetic_variant	NA	NA	0
1449	I'm so proud tht I accomplished my hard work today! I finally managed to solve the problem and it feels amazing! I'm so proud that I accomplished my proposal today!	pride	synthetic_variant	Word	Missing Letter	2
1450	I don't understand why I got bad news. Nothing makes sense anymore.	confusion	synthetic_variant	NA	NA	0
1451	I feel accomplished after completing clean the house.	pride	synthetic_variant	NA	NA	0
1452	While the thought of the unknown keeps me up I'm really worried about failing the exam. What if something bad happens?	fear	synthetic_variant	Sentence	Missing Complete Thought	0
1453	I feel blessed that this opportunity came into my life. I feel blessed rhat these relationships came into my life.	joy	synthetic_variant	Word	Adjacent Key	2
1454	I can't wait for my vacation! It's going to be amazing! While today i found out that i	excitement	synthetic_variant	Sentence	Missing Complete Thought	0
1455	I had to deal with dirty conditions today and it was absolutely revolting. I encountered a clogged drain and it made me feel sick to my stomach. Traffic was so terrible I wanted to leave immediately.	disgust	synthetic_variant	NA	NA	0
1456	Because i wish i could take back Traffic was terrible happened and now I'm too mortified to show my face.	embarrassment	synthetic_variant	Sentence	Missing Complete Thought	0
1457	While the way my friend behaved was disgusting.	disgust	synthetic_variant	Sentence	Missing Complete Thought	0
1458	I had to deal with dirty conditions today and it aas absolutely revolting. The way my colleague behaved was disgusting. I can't even think about it.	disgust	synthetic_variant	Word	Adjacent Key	1
1459	I'm really satisfied with how I handled managing depression. I fel accomplished after compleing meet the deadline. I finally managed to solve the problem and it feels amazing!	pride	synthetic_variant	Word	Missing Letter	3
1460	Out of nowhere, an unexpected visitor showed up and I was stunned! I never expected my old friend contacted me to happen! What a shock!	surprise	synthetic_variant	NA	NA	0
1461	Just thinking about starting my new hobby mmakes me grin from ear to ear! I'm beyond excited because my proposal finally came through!	excitement	synthetic_variant	Word	Repeating Letter	1
1462	I finally managed to stand up for myself and it feels amazing! I'mm really satisfied with how I handled adapting to change. I finally managed to stand up forr myself and it feels amazing!	pride	synthetic_variant	Word	Repeating Letter	2
1463	Unexpected help happened and I couldn't stop smiling. A kind gesture happened and I couldn't stop smiling.	joy	synthetic_variant	Word	Scrambled Letter	1
1464	I can't stop thinking about how I misunderstood the situation. So embarrassing. The meeting got cancelled happened and now I'm too mortified to show my face. I wish I could take back my outfit choice from	embarrassment	synthetic_variant	Sentence	Missing Object	0
1465	oday was wonderful because I made a new friend. I feel so happy!	joy	synthetic_variant	Word	Missing Letter	2
1466	Today I worked. It was a pretty normal day.	neutral	synthetic_variant	NA	NA	0
1467	My day consisted mainly of work and meals.	neutral	synthetic_variant	NA	NA	0
1468	I'm so proud that I accomplished the application today! I finally managed to stand up for myself and it feels amazing!	pride	synthetic_variant	NA	NA	0
1469	My friend really upset me when they interrupted me. I'm still mad about it. I can't bbelieve that person did that to me. It's completely unfair and I'm furious. That person keeps doing being late and it's driving me crazy.	anger	synthetic_variant	Word	Repeating Letter	1
1470	Today I found out that my project was approved and I'm thrilled! I can't wait for the weekend! It's going to be amazing!	excitement	synthetic_variant	NA	NA	0
1471	I never expected plans changed to happen! What a shock! I couldn't believe it when my idea was chosen took place! I never expected I received a gift to happen! What	surprise	synthetic_variant	Sentence	Missing Complete Thought	0
1472	I accidentally spilled coffee in front of everyone. I wanted to disappear. I can't stop thinking about how I rambled nervously. So embarrassing.	embarrassment	synthetic_variant	NA	NA	0
1473	Something strange happened with work and I'm not sure what to think. The store was cclosed left me wondering what's really gooing on.	confusion	synthetic_variant	Word	Repeating Letter	2
1474	I couldn't believe it when my idea was chosen!	surprise	synthetic_variant	NA	NA	0
1475	I don't know what I'll do if my fears acually hppens.	fear	synthetic_variant	Word	Missing Letter	3
1476	Today was terrible because traffic was terrible. I'm so angry I could	anger	synthetic_variant	Sentence	Missing Object	0
1477	made a new friend happened and I'm so pumped about it!	excitement	synthetic_variant	Sentence	Missing Subject	0
1478	need to give a speech and I'm so nervous. Tomorrow I need to give a speech and I'm so nervous.	nervousness	synthetic_variant	Sentence	Missing Subject	0
1479	Today I made such a fool of myself when I forgot important details. Today I made such a fool of myself when I forgot important details.	embarrassment	synthetic_variant	NA	NA	0
1480	Today I made such a fool of myself when I mixed up the dates. My plans fell through happened and now I'm	embarrassment	synthetic_variant	Sentence	Missing Complete Thought	0
1481	I was trying to fix the problem but unexpected interruptions	anger	synthetic_variant	Sentence	Missing Complete Thought	0
1482	Today I made such a fool of myself when I forgot important details. I accidentally called someone by the wrong name in front of everyone. I wanted to disappear.	embarrassment	synthetic_variant	NA	NA	0
1483	My plans fell through, which, which, which left me wondering what's really going on. I don't understand why I got bad news. Nothing makes sense anymore.	confusion	synthetic_variant	NA	NA	0
1484	Tomorrow I need to give a speech and I'm so	nervousness	synthetic_variant	Sentence	Missing Complete Thought	0
1485	I never expected my old friend contacted me to happen! What	surprise	synthetic_variant	Sentence	Missing Complete Thought	0
1486	The cashier keeps doing complaining constantly and it's driving me crazy. My parent really upset me when they ignored me. I'm still	anger	synthetic_variant	Sentence	Missing Object	0
1487	I never expected plans changed to happen! Wat a shock!	surprise	synthetic_variant	Word	Missing Letter	1
1488	While today brought an unexpected I couldn't believe it when my idea was chosen took place! Today brought an unexpected twist with side effect.	surprise	synthetic_variant	Sentence	Missing Complete Thought	0
1489	I accidentally tripped in front of everyone. I wanted to disappear. I accidentally spilled coffee in front of everyone. I wanted to disappear.	embarrassment	synthetic_variant	NA	NA	0
1490	thought of public speaking keeps me up at night.	fear	synthetic_variant	Sentence	Missing Subject	0
1491	I spent mst of the day running errands. I spent most of the day doing household chores. Nothing special happened today. Just the usual stuff.	neutral	synthetic_variant	Word	Missing Letter	1
1492	My parent really upset me when they interrupted me. I'm still mad about it. My boss kseps doing complaibing constantly and it's driving me crazy.	anger	synthetic_variant	Word	Adjacent Key	2
1493	I'm so proud that I accomplised my hard work today! I finally managed to finish on time and it feels amazing! Today I prved to myself that I can overcome this challenge.	pride	synthetic_variant	Word	Missing Letter	3
1494	Today I proved to myself that I can cmplete this project. I'm so proud that I accomplished the application oday! I feel accomplished after completing clean the house.	pride	synthetic_variant	Word	Missing Letter	2
1495	I can't shake this sadness from earlier I'm heartbroken about the response. I'm heartbroken about the response.	sadness	synthetic_variant	Sentence	Missing Object	0
1496	The innovation session is making me feeel uneasy and restless. Tomorrow I need to lead the meeting andd I'm so nervous. Tomorrow I need to make a decisionn and I'm so nervous.	nervousness	synthetic_variant	Word	Repeating Letter	3
1497	I was trying to fix the problm but poor planning ruined everything. I'm livid.	anger	synthetic_variant	Word	Missing Letter	2
1498	I can't stop worrying about letting people down. My stomach is in knots. I can't stop worrying about letting people down. My stomach is	nervousness	synthetic_variant	Sentence	Missing Object	0
1499	I got bad news left me wondering what's really going on. don't understand why my plans fell through happened. Nothing makes sense anymore.	confusion	synthetic_variant	Sentence	Missing Subject	0
1500	I spnet most of the day doing household cohres. Nothing special happened today. Jsut routine tasks.	neutral	synthetic_variant	Word	Scrambled Letter	3
1501	The thought of public speaking keeps me up at night. The thought of public speaking keeps me up at night. If the thought of the unknown	fear	synthetic_variant	Sentence	Missing Complete Thought	0
1502	The thought of public speakking keeps me up at night. The thought of confrontation keeps me up at night.	fear	synthetic_variant	Word	Repeating Letter	2
1503	The thought of public speaking keeps me up at night. When i'm really worried about failing the exam. what if something	fear	synthetic_variant	Sentence	Missing Complete Thought	0
1504	I had to deal with a mssy situation tody and it wa absolutely revolting.	disgust	synthetic_variant	Word	Missing Letter	3
1505	I spent msot of the day running errands.	neutral	synthetic_variant	Word	Scrambled Letter	2
1506	I'm heartbroken about	sadness	synthetic_variant	Sentence	Missing Object	0
1507	A kind gesture happened and I couldn't stop smiling. I spent time with my partner and it made my whole day better. Today was wonderful because I made a new friend. I ffeel so happy!	joy	synthetic_variant	Word	Repeating Letter	1
1508	I wish I could take back my outfit choice from today.	embarrassment	synthetic_variant	NA	NA	0
1509	I'm terrified that rejection might occur The commitment questions has me on edge and I can't relax. I'm really worried about the upcoming deadline. What if something bad happens?	fear	synthetic_variant	Sentence	Missing Object	0
1510	I feel blessed that good health came into Today was wonderful because My presentation went well. I feel so happy!	joy	synthetic_variant	Sentence	Missing Complete Thought	0
1511	My plans fell through happened and now I'm too mortified to show my fce.	embarrassment	synthetic_variant	Word	Missing Letter	1
1512	I went through my usual routine of reading and relaxing. Nothing special happened today. Just the usual stuff. I spent most of the day working on tasks.	neutral	synthetic_variant	NA	NA	0
1513	I spent time with my pet and it made my whole day better. Today was wonderful because I made a new friend. I feel so happy! Today was wonderful because My presentation went well. I feel so happy!	joy	synthetic_variant	NA	NA	0
1514	I have the interview coming up and I'm really anxious about it. I can't stop worrying about letting people down. My stomach is in knots. Tomorrow I need to make a decision and I'm so nervous.	nervousness	synthetic_variant	NA	NA	0
1515	I finally managed to stand up for myself and it feels amazing! I finally managed to solve the problem and it feels amazing!	pride	synthetic_variant	NA	NA	0
1516	I'm really satisfied with how I handled I'm so proud that I accomplished the application today!	pride	synthetic_variant	Sentence	Missing Object	0
1517	I have the exam coming up and I'm really	nervousness	synthetic_variant	Sentence	Missing Complete Thought	0
1518	I'm beyond excited because my hard work finally came through!	excitement	synthetic_variant	NA	NA	0
1519	Today was wonderful because I hit my goal. I feel so happy!	joy	synthetic_variant	Word	Scrambled Letter	1
1520	Today I proved to myself that I can achieve my goal.	pride	synthetic_variant	NA	NA	0
1521	I got bad news and now I'm too mortified to show my face. I accidentally tripped in front of everyone. I wanted to disappear.	embarrassment	synthetic_variant	NA	NA	0
1522	terrified that rejection might occur soon.	fear	synthetic_variant	Sentence	Missing Subject	0
1523	The follow-up appointment is making me fee ueasy and restless.	nervousness	synthetic_variant	Word	Missing Letter	3
1524	Tomorrow I need to lead the meeting and I'm so nervous. Tomorrow I need to give a speech and I'm so nervous. I cab't stop worrying about letting people down. My stomach is in knots.	nervousness	synthetic_variant	Word	Adjacent Key	1
1525	Unexpected help happened adn I couldn't stop smilign.	joy	synthetic_variant	Word	Scrambled Letter	2
1526	Just thinking about the trip makes me grin from ear	excitement	synthetic_variant	Sentence	Missing Object	0
1527	OOut of nowhere, goood news occurred aand I was stunned!	surprise	synthetic_variant	Word	Repeating Letter	3
1528	I wish I could take vack what I said from today. Today I made such a foil of myself when I said something stupid.	embarrassment	synthetic_variant	Word	Adjacent Key	2
1529	Today my boss told me unclear instructions and I'm completely lost.	confusion	synthetic_variant	NA	NA	0
1530	If no more chances has me feeling I feel really down because bad news happened. I can't shake this sadness from earlier today.	sadness	synthetic_variant	Sentence	Missing Complete Thought	0
1531	Everything about today was perfect,	joy	synthetic_variant	Sentence	Missing Object	0
